Cluster_Sets,Clustering_Distance,TPs,FPs,FNs
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23', 'cluster_41', 'cluster_47', 'cluster_49']",distance_0.2,[],"['T1102.002', 'T1059', 'T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1027.002', 'T1027.005', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1552.001', 'T1203', 'T1140', 'T1070.004']",[]
"['cluster_21', 'cluster_22', 'cluster_23', 'cluster_27']",distance_0.2,[],"['T1105', 'T1071.001', 'T1106', 'T1132.001', 'T1027.002', 'T1027.005', 'T1095', 'T1518.001', 'T1115', 'T1140', 'T1071.004', 'T1204.002', 'T1027.001', 'T1102.002', 'T1113', 'T1070.004', 'T1564.003', 'T1059.001', 'T1204.001', 'T1059.005', 'T1059.007', 'T1036', 'T1189', 'T1588.002', 'T1047', 'T1486', 'T1059.003', 'T1070.006', 'T1566.002', 'T1518', 'T1485']",[]
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_35']",distance_0.2,[],"['T1071.001', 'T1132.001', 'T1027.002', 'T1071.004', 'T1027.005', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1588.002', 'T1106', 'T1059.007', 'T1070.004']",['T1505.003']
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_7']",distance_0.2,[],"['T1071.001', 'T1071.004', 'T1027.005', 'T1095', 'T1518.001', 'T1105', 'T1036', 'T1102.002', 'T1132.001', 'T1047', 'T1113', 'T1115', 'T1140', 'T1588.002', 'T1106', 'T1070.004']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23', 'cluster_35']",distance_0.2,[],"['T1102.002', 'T1071.001', 'T1106', 'T1132.001', 'T1071.004', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1203']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23']",distance_0.2,[],"['T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1203', 'T1071.004', 'T1059', 'T1059.001', 'T1027.005', 'T1036', 'T1027.001', 'T1140', 'T1059.007', 'T1204.001', 'T1189', 'T1059.005', 'T1547.001', 'T1027.002', 'T1070.004', 'T1564.003', 'T1218.011', 'T1070.006', 'T1102.002', 'T1047', 'T1053.003', 'T1569.002', 'T1053.005', 'T1113', 'T1588.002', 'T1485', 'T1566.001', 'T1070.001', 'T1561.002', 'T1566.002', 'T1560.001', 'T1059.003', 'T1486', 'T1518', 'T1566', 'T1055']","['T1036.005', 'T1543.003', 'T1083', 'T1505.003', 'T1547.009', 'T1589', 'T1036.004', 'T1078', 'T1005']"
"['cluster_21', 'cluster_27']",distance_0.2,[],"['T1095', 'T1105', 'T1027.002', 'T1106', 'T1027.005', 'T1132.001', 'T1140', 'T1071.004', 'T1036', 'T1070.004', 'T1518.001', 'T1588.002', 'T1485', 'T1561.002', 'T1027.001', 'T1070.006', 'T1569.002', 'T1053.005', 'T1560.001', 'T1486', 'T1059.001']","['T1546.008', 'T1036.005', 'T1056']"
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_26']",distance_0.2,[],"['T1132.001', 'T1027.005', 'T1564.003', 'T1518.001', 'T1095']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_23', 'cluster_27', 'cluster_26']",distance_0.2,[],"['T1102.002', 'T1132.001', 'T1095', 'T1203', 'T1059', 'T1071.001', 'T1106', 'T1027.002', 'T1529', 'T1071.004', 'T1027.005', 'T1036', 'T1518.001', 'T1140', 'T1070.004', 'T1059.005', 'T1053.003', 'T1569.002', 'T1105', 'T1059.007', 'T1113', 'T1588.002', 'T1204.002', 'T1047', 'T1070.001', 'T1189', 'T1027.001', 'T1070.006', 'T1115', 'T1204.001', 'T1059.001', 'T1485', 'T1561.002', 'T1564.003', 'T1218.011', 'T1486', 'T1560.001', 'T1518', 'T1566', 'T1055']","['T1543.003', 'T1499']"
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_26', 'cluster_25']",distance_0.2,[],"['T1056.001', 'T1529', 'T1047', 'T1095', 'T1564.003']",[]
"['cluster_22', 'cluster_24', 'cluster_27']",distance_0.2,[],"['T1059', 'T1071.004', 'T1095', 'T1105', 'T1113', 'T1115', 'T1070.004', 'T1564.003', 'T1132.001', 'T1106', 'T1518.001', 'T1140', 'T1218.011', 'T1027.001', 'T1059.001', 'T1059.003', 'T1053.003', 'T1027.005', 'T1518']",['T1499']
"['cluster_23', 'cluster_27']",distance_0.2,[],"['T1071.004', 'T1102.002', 'T1132.001', 'T1518.001', 'T1071.001', 'T1204.002', 'T1036', 'T1059.007', 'T1095', 'T1027.005', 'T1106', 'T1189', 'T1105', 'T1140', 'T1070.004', 'T1564.003', 'T1070.001', 'T1115', 'T1027.002', 'T1027.001', 'T1560.001', 'T1059.003', 'T1204.001', 'T1569.002', 'T1059.001', 'T1486']","['T1119', 'T1036.005', 'T1543.003', 'T1552.001']"
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_11']",distance_0.2,[],"['T1059', 'T1113']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27']",distance_0.2,[],"['T1059', 'T1113', 'T1115', 'T1106', 'T1132.001', 'T1027.005', 'T1105', 'T1140', 'T1588.002', 'T1204.002', 'T1518.001', 'T1218.011', 'T1036', 'T1027.002', 'T1047', 'T1569.002', 'T1560.001', 'T1486', 'T1203', 'T1027.001', 'T1070.004', 'T1070.006', 'T1059.001', 'T1053.003', 'T1095', 'T1518']","['T1036.005', 'T1589', 'T1083', 'T1499']"
"['cluster_21', 'cluster_27', 'cluster_7']",distance_0.2,[],"['T1071.004', 'T1132.001', 'T1095', 'T1105', 'T1140', 'T1027.005']",[]
"['cluster_21', 'cluster_27', 'cluster_25', 'cluster_11']",distance_0.2,[],"['T1056.001', 'T1113', 'T1115']",[]
"['cluster_21', 'cluster_23', 'cluster_27', 'cluster_1', 'cluster_30']",distance_0.2,[],"['T1027', 'T1071.001', 'T1071.004', 'T1095', 'T1027.005', 'T1588.002', 'T1140', 'T1036', 'T1132.001', 'T1106', 'T1027.002', 'T1027.001', 'T1070.006']",[]
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_1', 'cluster_30']",distance_0.2,[],"['T1027', 'T1132.001', 'T1027.005', 'T1588.002']",[]
